,0
0,-0.004568397292453008
1,-0.02376981164709568
2,-0.01774489123952223
3,-0.006812970436889188
4,-0.007975317225710987
5,-0.008441519768953793
6,-0.0077657538861723345
7,-0.008936678980307602
8,-0.010266855459443676
9,-0.011484329036664152
10,-0.012628096231838198
11,-0.013925848113376276
12,-0.01552718177543252
13,-0.01879262108366224
14,-0.022447555058559634
15,-0.02623307901360441
16,-0.030180699786234447
17,-0.034540057187772616
18,-0.03935997385084101
19,-0.04483083378639699
20,-0.05116982813359703
21,-0.05815430447347287
22,-0.0646298778754514
23,-0.07139359914087215
24,-0.07863551983874338
25,-0.08635207118645492
26,-0.09554291685933963
27,-0.10414744706958505
28,-0.11346097675457534
29,-0.12408890088026805
30,-0.13577927814111898
31,-0.14845052079382792
32,-0.16206058222126496
33,-0.17663840672813566
34,-0.19224808300676818
35,-0.20896287167201114
36,-0.2268609776276659
37,-0.2460209717829605
38,-0.2665180612725776
39,-0.28842407268265213
40,-0.3118067345160932
41,-0.33673252738656
42,-0.36326573824209496
43,-0.3914736595694664
44,-0.42142678429667163
45,-0.45319424472459235
46,-0.4868482994155347
47,-0.5224659975131212
48,-0.5601241731086358
49,-0.5999024477636825
50,-0.6418779543318943
51,-0.6861263412063487
52,-0.7327210715071693
53,-0.7817346998250632
54,-0.8332393255725803
55,-0.887308565033698
56,-0.9440174865834612
57,-1.003445909510276
58,-1.0656806740220197
59,-1.1308191871415643
60,-1.2179798880430923
61,-1.2639891244075876
62,-1.3007748291672165
63,-1.3497091797558827
64,-1.3922852952294806
65,-1.4384538367846875
66,-1.489922836994158
67,-1.5437216110554677
68,-1.597748052408573
69,-1.65207660525419
70,-1.7126504519753676
71,-1.7738424337972551
72,-1.8340907656932584
73,-1.8935429827602108
74,-1.952169126589513
75,-2.009939715271916
76,-2.0669519754239145
77,-2.12329973988598
78,-2.1810508445640258
79,-2.238231077228735
80,-2.2945715308283847
81,-2.3498484995591857
82,-2.403793375173611
83,-2.4559220924342564
84,-2.507360137103644
85,-2.5643921903974216
86,-2.627213786735306
87,-2.6966085214375677
